project,id,mutant,toolASTDifferencing,toolCosine,toolStringDistance,toolVariable,toolSyntax,toolSemantic,s3tool,capgentool,correct
Csv,5,mutant-11,2.0,0.05131670194948612,1.0,0.8333333333333334,0.8181818181818182,1.0,3.051316701949486,0.6818181818181819,FALSE
Csv,5,mutant-12,2.0,0.049067034816068444,1.0,0.8,1.0,0.8,3.0490670348160682,0.6400000000000001,FALSE
Csv,5,mutant-13,2.0,0.05131670194948612,1.0,0.8333333333333334,0.8181818181818182,1.0,3.051316701949486,0.6818181818181819,FALSE
Csv,5,mutant-14,2.0,0.0,0.0,1.0,0.8181818181818182,1.0,2.0,0.8181818181818182,FALSE
Csv,5,mutant-15,2.0,0.0,0.0,1.0,0.8181818181818182,1.0,2.0,0.8181818181818182,FALSE
Csv,5,mutant-2,3.0,0.03847605235917684,1.0,0.7142857142857143,0.75,0.0,4.038476052359177,0.0,FALSE
Csv,5,mutant-3,2.0,0.05131670194948612,1.0,0.8333333333333334,0.8181818181818182,1.0,3.051316701949486,0.6818181818181819,FALSE
Csv,5,mutant-4,2.0,0.0,0.0,1.0,0.8181818181818182,1.0,2.0,0.8181818181818182,FALSE
Csv,5,mutant-5,2.0,0.05131670194948612,1.0,0.8333333333333334,0.8181818181818182,1.0,3.051316701949486,0.6818181818181819,FALSE
Csv,5,mutant-6,3.0,0.0,0.0,1.0,0.75,0.0,3.0,0.0,FALSE
Csv,5,mutant-7,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
Csv,5,mutant-8,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
Csv,5,mutant-9,2.0,0.0,0.0,1.0,1.0,0.8,2.0,0.8,FALSE
Csv,9,mutant-1,9.0,0.05203791164978255,7.0,0.6666666666666666,0.672566371681416,0.5037593984962406,16.052037911649784,0.22587442056468607,FALSE
Gson,16,mutant-1,1.0,0.0,1.0,0.7777777777777778,1.0,1.0,2.0,0.7777777777777778,FALSE
Gson,16,mutant-10,1.0,0.0,0.0,1.0,1.0,0.5135135135135135,1.0,0.5135135135135135,FALSE
Gson,16,mutant-11,7.0,0.042700523665645584,2.0,0.6666666666666666,0.803680981595092,0.5869565217391305,9.042700523665646,0.3144838623632969,FALSE
Gson,16,mutant-2,4.0,0.4836022205056778,1.0,0.0,0.2403846153846154,0.013333333333333334,5.483602220505678,0.0,FALSE
Gson,16,mutant-3,6.0,0.07613022912568812,4.0,0.5,1.0,0.45454545454545453,10.076130229125688,0.22727272727272727,FALSE
Gson,16,mutant-4,1.0,0.0,1.0,0.7777777777777778,1.0,1.0,2.0,0.7777777777777778,FALSE
Gson,16,mutant-5,4.0,0.4836022205056778,1.0,0.0,0.24074074074074073,0.02702702702702703,5.483602220505678,0.0,FALSE
Gson,16,mutant-6,6.0,0.2614510541240036,3.0,0.2,0.5190839694656488,1.0,9.261451054124004,0.10381679389312977,FALSE
Gson,16,mutant-7,14.0,0.18814997543933587,2.0,0.5,0.631578947368421,0.48484848484848486,16.188149975439337,0.15311004784688995,FALSE
Gson,16,mutant-8,2.0,0.006021560124901404,2.0,0.5,0.8733333333333333,1.0,4.006021560124902,0.43666666666666665,FALSE
Gson,16,mutant-9,13.0,0.818928507914963,5.0,0.0,0.2,0.0625,18.81892850791496,0.0,FALSE
Gson,18,mutant-1,8.0,0.07731297215613175,4.0,0.42857142857142855,1.0,1.0,12.077312972156133,0.42857142857142855,FALSE
Gson,5,mutant-1,1.0,0.0,0.0,1.0,1.0,0.5476190476190477,1.0,0.5476190476190477,FALSE
Gson,5,mutant-10,2.0,0.0,0.0,1.0,0.7169811320754716,0.7142857142857143,2.0,0.5121293800539083,FALSE
Gson,5,mutant-2,6.0,0.5917517095361369,3.0,0.0,0.22077922077922077,0.022222222222222223,9.591751709536137,0.0,FALSE
Gson,5,mutant-3,6.0,0.5917517095361369,3.0,0.0,0.20754716981132076,0.023809523809523808,9.591751709536137,0.0,FALSE
Gson,5,mutant-4,1.0,0.0,1.0,0.5,1.0,0.8571428571428571,2.0,0.42857142857142855,FALSE
Gson,5,mutant-5,12.0,0.19123068989671732,5.0,0.1111111111111111,0.3235294117647059,0.1875,17.191230689896717,0.006740196078431372,FALSE
Gson,5,mutant-6,14.0,0.0,0.0,1.0,0.25,0.32142857142857145,14.0,0.08035714285714286,FALSE
Gson,5,mutant-7,1.0,0.0,1.0,0.7142857142857143,1.0,1.0,2.0,0.7142857142857143,FALSE
