bug	s3-tool-buggy	capgen-tool
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.62.1	14.047164895250965	0.1341430499325236
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.63.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.70.1	2.0	0.5
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.40.1	2.0	0.6
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Chart.9.1	15.174277176155229	0.026806526806526804
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Chart.9.2	20.13725444254565	0.00898390708817249
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Chart.1.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Chart.26.1	14.073128429020013	0.11864860372340426
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Chart.26.3	19.047378701901515	0.012174539596797974
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Chart.26.2	19.05800866270242	0.3719166567911269
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Chart.24.1	9.0176230923791	0.5766242628064533
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Chart.24.2	24.054500630800362	0.28993130284352897
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.50.1	14.11359473957208	0.04037383177570093
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.32.1	14.18733495866179	0.009049773755656108
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.80.1	34.03894314350288	0.2786671508042659
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.80.2	14.025124126292381	0.4243228260037265
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.53.1	24.08430335763877	0.17149122807017542
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.53.2	23.089610548810164	0.059998875899280574
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.85.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.82.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.5.1	23.0	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.5.3	23.33852303042669	4.3599140654618977E-4
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Math.5.2	22.05047648109309	0.16925351071692535
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.51.6	24.14336042470011	0.07448943304206461
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.51.1	26.248056731163103	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.51.4	31.158624158623738	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.51.3	30.18714481665978	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.51.2	18.106179543173468	0.1493366404423258
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.51.5	21.13524040747012	0.08919609453417283
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.33.1	19.133532500905893	0.12602161522744382
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.33.2	28.086071046836643	0.01623931623931624
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.45.1	21.32519147066967	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Lang.38.1	6.00225070292594	0.4050925925925926
